DeviceName,DeviceDateTime,BatteryStatus,CommId,Latitude,Longitude
0-4408436,2022-10-11 10:15:42,LOW,0-4408436,43.07994,5.98459
,,,,,
0-4406439,2022-10-11 10:15:21,GOOD,0-4406439,43.08306,6.00064
,,,,,
0-4409666,2022-10-11 10:15:03,GOOD,0-4409666,43.08041,6.00263
,,,,,
0-4407230,2022-10-11 10:13:21,LOW,0-4407230,43.07424,5.97749
,,,,,
0-4410119,2022-10-11 10:12:53,GOOD,0-4410119,43.0738,5.97577
,,,,,
0-3153368,2022-10-11 10:12:42,GOOD,0-3153368,43.08087,5.98504
,,,,,
0-3152052,2022-10-11 10:10:52,GOOD,0-3152052,42.99111,6.00879
,,,,,
0-4408436,2022-10-11 10:10:40,LOW,0-4408436,43.07977,5.98452
,,,,,
0-4406439,2022-10-11 10:10:20,GOOD,0-4406439,43.0827,6.00085
,,,,,
0-4409666,2022-10-11 10:10:04,GOOD,0-4409666,43.08029,6.00235
,,,,,
0-4407230,2022-10-11 10:08:57,LOW,0-4407230,43.07442,5.97718
,,,,,
0-4410119,2022-10-11 10:07:55,GOOD,0-4410119,43.07401,5.97549
,,,,,
0-3153368,2022-10-11 10:07:43,GOOD,0-3153368,43.0808,5.98506
,,,,,
0-3152052,2022-10-11 10:06:32,GOOD,0-3152052,42.99131,6.00905
,,,,,
0-4408436,2022-10-11 10:05:41,LOW,0-4408436,43.07968,5.98452
,,,,,
0-4406439,2022-10-11 10:05:22,GOOD,0-4406439,43.08242,6.00092
,,,,,
0-4409666,2022-10-11 10:05:02,GOOD,0-4409666,43.08012,6.00212
,,,,,
0-4407230,2022-10-11 10:03:24,LOW,0-4407230,43.07465,5.97684
,,,,,
0-4410119,2022-10-11 10:02:53,GOOD,0-4410119,43.07425,5.97521
,,,,,
0-3153368,2022-10-11 10:02:45,GOOD,0-3153368,43.0807,5.98508
,,,,,
0-3152052,2022-10-11 10:00:55,GOOD,0-3152052,42.99153,6.00933
,,,,,
0-4408436,2022-10-11 10:00:39,LOW,0-4408436,43.07958,5.98452
,,,,,
0-4406439,2022-10-11 10:00:21,GOOD,0-4406439,43.08228,6.00105
,,,,,
0-4409666,2022-10-11 10:00:01,GOOD,0-4409666,43.08004,6.00186
,,,,,
0-4407230,2022-10-11 09:58:24,LOW,0-4407230,43.07483,5.97654
,,,,,
0-4410119,2022-10-11 09:57:55,GOOD,0-4410119,43.07449,5.97493
,,,,,
0-3153368,2022-10-11 09:57:48,GOOD,0-3153368,43.08061,5.98515
,,,,,
0-3152052,2022-10-11 09:55:53,GOOD,0-3152052,42.99173,6.00952
,,,,,
0-4408436,2022-10-11 09:55:40,LOW,0-4408436,43.07948,5.98448
,,,,,
0-4406439,2022-10-11 09:55:21,GOOD,0-4406439,43.08212,6.0012
,,,,,
0-4409666,2022-10-11 09:55:03,GOOD,0-4409666,43.07996,6.00167
,,,,,
0-4407230,2022-10-11 09:53:27,LOW,0-4407230,43.07502,5.97626
,,,,,
0-4410119,2022-10-11 09:52:55,GOOD,0-4410119,43.07472,5.9747
,,,,,
0-3153368,2022-10-11 09:52:48,GOOD,0-3153368,43.08054,5.98519
,,,,,
0-4408436,2022-10-11 09:50:56,LOW,0-4408436,43.07937,5.98444
,,,,,
0-3152052,2022-10-11 09:50:51,GOOD,0-3152052,42.99197,6.00976
,,,,,
0-4406439,2022-10-11 09:50:20,GOOD,0-4406439,43.08171,6.0015
,,,,,
0-4409666,2022-10-11 09:50:01,GOOD,0-4409666,43.07991,6.00147
,,,,,
0-4407230,2022-10-11 09:48:27,LOW,0-4407230,43.07521,5.97596
,,,,,
0-4410119,2022-10-11 09:47:57,GOOD,0-4410119,43.07498,5.9745
,,,,,
0-3153368,2022-10-11 09:47:48,GOOD,0-3153368,43.08047,5.98525
,,,,,
0-3152052,2022-10-11 09:45:52,GOOD,0-3152052,42.99222,6.00999
,,,,,
0-4408436,2022-10-11 09:45:39,LOW,0-4408436,43.07926,5.98439
,,,,,
0-4409666,2022-10-11 09:45:29,GOOD,0-4409666,43.07982,6.00124
,,,,,
0-4406439,2022-10-11 09:45:22,GOOD,0-4406439,43.08146,6.0016
,,,,,
0-4407230,2022-10-11 09:43:30,LOW,0-4407230,43.07542,5.9757
,,,,,
0-4410119,2022-10-11 09:42:57,GOOD,0-4410119,43.07524,5.97431
,,,,,
0-3153368,2022-10-11 09:42:51,GOOD,0-3153368,43.08036,5.98532
,,,,,
0-3152052,2022-10-11 09:40:56,GOOD,0-3152052,42.99469,6.00993
,,,,,
0-4408436,2022-10-11 09:40:40,LOW,0-4408436,43.07919,5.98433
,,,,,
0-4406439,2022-10-11 09:40:24,GOOD,0-4406439,43.0813,6.00167
,,,,,
0-4409666,2022-10-11 09:40:00,GOOD,0-4409666,43.07977,6.00098
,,,,,
0-4407230,2022-10-11 09:38:28,LOW,0-4407230,43.07565,5.97543
,,,,,
0-4410119,2022-10-11 09:37:56,GOOD,0-4410119,43.0755,5.97416
,,,,,
0-3153368,2022-10-11 09:37:51,GOOD,0-3153368,43.08027,5.98536
,,,,,
0-3152052,2022-10-11 09:35:51,GOOD,0-3152052,43.00465,6.00879
,,,,,
0-4408436,2022-10-11 09:35:41,LOW,0-4408436,43.07915,5.98433
,,,,,
0-4406439,2022-10-11 09:35:22,GOOD,0-4406439,43.0812,6.00169
,,,,,
0-4409666,2022-10-11 09:34:58,GOOD,0-4409666,43.07969,6.00077
,,,,,
0-4407230,2022-10-11 09:33:27,LOW,0-4407230,43.07587,5.97517
,,,,,
0-4410119,2022-10-11 09:32:59,GOOD,0-4410119,43.07578,5.97403
,,,,,
0-3153368,2022-10-11 09:32:54,GOOD,0-3153368,43.08018,5.98538
,,,,,
0-4406439,2022-10-11 09:30:57,GOOD,0-4406439,43.08114,6.00163
,,,,,
0-3152052,2022-10-11 09:30:50,GOOD,0-3152052,43.01822,6.00313
,,,,,
0-4408436,2022-10-11 09:30:41,LOW,0-4408436,43.07913,5.98437
,,,,,
0-4409666,2022-10-11 09:29:59,GOOD,0-4409666,43.07968,6.00062
,,,,,
0-3153368,2022-10-11 09:28:31,GOOD,0-3153368,43.08011,5.9854
,,,,,
0-4407230,2022-10-11 09:28:28,LOW,0-4407230,43.07613,5.97487
,,,,,
0-4410119,2022-10-11 09:28:01,GOOD,0-4410119,43.07608,5.9739
,,,,,
0-3152052,2022-10-11 09:25:51,GOOD,0-3152052,43.03083,5.99293
,,,,,
0-4408436,2022-10-11 09:25:43,LOW,0-4408436,43.07913,5.98437
,,,,,
0-4406439,2022-10-11 09:25:22,GOOD,0-4406439,43.08104,6.00147
,,,,,
0-4409666,2022-10-11 09:25:01,GOOD,0-4409666,43.0797,6.00051
,,,,,
0-4410119,2022-10-11 09:23:30,GOOD,0-4410119,43.07636,5.97384
,,,,,
0-4407230,2022-10-11 09:23:29,LOW,0-4407230,43.07636,5.97461
,,,,,
0-3153368,2022-10-11 09:22:54,GOOD,0-3153368,43.07994,5.98538
,,,,,
0-3152052,2022-10-11 09:20:49,GOOD,0-3152052,43.04349,5.98264
,,,,,
0-4408436,2022-10-11 09:20:44,LOW,0-4408436,43.07908,5.98446
,,,,,
0-4406439,2022-10-11 09:20:22,GOOD,0-4406439,43.08103,6.00137
,,,,,
0-4409666,2022-10-11 09:19:59,GOOD,0-4409666,43.07973,6.00038
,,,,,
0-4410119,2022-10-11 09:18:30,GOOD,0-4410119,43.07666,5.97375
,,,,,
0-4407230,2022-10-11 09:18:24,LOW,0-4407230,43.07661,5.97425
,,,,,
0-3153368,2022-10-11 09:17:53,GOOD,0-3153368,43.0798,5.98534
,,,,,
0-3152052,2022-10-11 09:15:49,GOOD,0-3152052,43.05761,5.97758
,,,,,
0-4408436,2022-10-11 09:15:43,LOW,0-4408436,43.07908,5.98452
,,,,,
0-4406439,2022-10-11 09:15:23,GOOD,0-4406439,43.08096,6.00132
,,,,,
0-4409666,2022-10-11 09:15:01,GOOD,0-4409666,43.07975,6.00025
,,,,,
0-4407230,2022-10-11 09:13:28,LOW,0-4407230,43.07693,5.97392
,,,,,
0-4410119,2022-10-11 09:13:00,GOOD,0-4410119,43.07701,5.97364
,,,,,
0-3153368,2022-10-11 09:12:55,GOOD,0-3153368,43.07965,5.9853
,,,,,
0-3152052,2022-10-11 09:10:46,GOOD,0-3152052,43.07136,5.97208
,,,,,
0-4408436,2022-10-11 09:10:44,LOW,0-4408436,43.07903,5.98459
,,,,,
0-4406439,2022-10-11 09:10:22,GOOD,0-4406439,43.08089,6.00111
,,,,,
0-4409666,2022-10-11 09:09:59,GOOD,0-4409666,43.07978,6.00017
,,,,,
0-4407230,2022-10-11 09:08:59,LOW,0-4407230,43.07726,5.9736
,,,,,
0-4410119,2022-10-11 09:08:02,GOOD,0-4410119,43.07737,5.97347
,,,,,
0-3153368,2022-10-11 09:07:56,GOOD,0-3153368,43.07944,5.98519
,,,,,
0-4408436,2022-10-11 09:05:45,LOW,0-4408436,43.07897,5.98463
,,,,,
0-4406439,2022-10-11 09:05:24,GOOD,0-4406439,43.08081,6.00092
,,,,,
0-4409666,2022-10-11 09:05:01,GOOD,0-4409666,43.07983,6.00008
